"name","category","subcategory","url","Sow/ plant outdoors","Article number","Portion contents","Suitable for professional cultivation","Thousand grain weight","Plant outdoors","Harvest","Pre-cultivation","Distances","Sowing depth","Cultivation","Spacing","Required quantity of seeds","Sowing","Blossoming period","Planting","Distance","Propagator","Thousand seeds mass","Required quantity","Sowing outdoors","Distances approx.","1stharvest","Germination temperature","1st harvest","Prpagator","Sow/ plant in greenhouse","Direct sowing","Development time approx.","Precision seeds","Thousand seeds mass","Sowing direct outside","Harvesting","Sowing/Pre-culttivation","Thousand grain mass","Ripening period","Distance        Ko49:","Ko51","to a scale of 10 0 (mild) – 10 (extremely hot).","Aussaat/ Pflanzung Freiland","Artikelnummer","Portionsinhalt","Tausendkorngewicht (TKG)","Ernte","Pflanzung Freiland","Voranzucht","Aussaat","Abstände","Anbau","Abstand","Saatgutbedarf","Saattiefe","Blütezeit","Legezeit","Pflanzabstände","Pflanzgutbedarf","Pflanztiefe","Vermehrer","Pflanzung","Stecktiefe","Direktsaat","Tausendkornmasse","Keimtemperatur","1. Ernte","Aussaat/ Pflanzung Gewächshaus","Voranzucht bis Ernte","Entwicklungszeit","Aussaat/Voranzucht","Präzisionssaatgut","Vorkultur","Kulturdauer","Saatttiefe","10-stufigen Skala 0 (mild) - 10 (extrem scharf)."
"Jessica","Swiss chard",,"https://www.reinsaat.at/shop/EN/swiss_chard/jessica/",,"Ma17","2.5 g",true,"17.79 g","[11,12,13,14]","[1,2,3,4,5,6,17,18,19,20,23,24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baumspinat","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/baumspinat/","[4,5,6,7,8,9,10,11,12,13,14,15,16,17]","CV156","0.2 g",false,"0.56 g",,"[8,9,10,11,12,13,14,15,16,17,18,19,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garden orache, ruby red","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/garden_orache_ruby_red/","[5,6,7,8,9,10]","CV13","für ca. 200 Pflanzen",false,"2.80 g",,"[8,9,10,11,12,13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gartenmelde Mix Tricolor","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/gartenmelde_mix_tricolor/","[5,6,7,8,9,10]","CV155","1 g",false,"2.36 g",,"[8,9,10,11,12,13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erdmandel","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/erdmandel/","[9,10,11]","CV12","22 Seeds",false,"377.12 g",,"[19,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strawberry Spinach.","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/strawberry_spinach./","[5,6,7,8,9]","CV147","0.2 g",false,"0.75 g",,"[12,13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schalotte, Red Sun","Onion, Garlic","Spring onion sets","https://www.reinsaat.at/shop/EN/onion_garlic/spring_onion_sets/schalotte_red_sun/","[4,5,6]","Zw62",,false,,,"[13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artichoke Green Globe","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/artichoke_green_globe/",,"CV41","30 Seeds",false,"43.33 g",,"[15,16,17,18]","[3,4,5,6,7,8,9,10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red Baron","Onion, Garlic","Spring onion sets","https://www.reinsaat.at/shop/EN/onion_garlic/spring_onion_sets/red_baron/","[6,7]","Zw52",,true,,,"[13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sturon","Onion, Garlic","Spring onion sets","https://www.reinsaat.at/shop/EN/onion_garlic/spring_onion_sets/sturon/","[6,7]","Zw51",,true,,,"[13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shakespeare","Onion, Garlic","Autumn onion sets","https://www.reinsaat.at/shop/EN/onion_garlic/autumn_onion_sets/wintersteckzwiebel_shakespeare/","[18,19,20]","Zw58",,true,,,"[12,13,14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sandwich Island Common Salsify","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/sandwich_island_common_salsify/","[6,7,8]","CV14","1.4 g",true,"11.45 g",,"[18,19,20,21,22,23,24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chinese Mallow","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/chinese_mallow/","[9,10]","CV94","für ca. 300 Pflanzen",true,"3.44 g",,"[12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salad Bowl","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/salad_bowl/","[5,6,7,8,9,10,11,12,13,14]","Sa36","0.6 g",false,"1.16 g",,"[8,9,10,11,12,13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dill","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/dill/","[5,6,7,8,9,10,11,12,13,14]","Kr17","für ca. 3-4m²",true,"1.58 g",,"[10,11,12,13,14,15,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caraway","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/caraway/","[5,6,7,8,9,10,14,15,16]","Kr41","15 g",true,"3.03 g",,"[12,13,14,15]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fennel","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/fennel/","[7,8,9,10]","Kr19","10 g",true,"7.27 g",,"[12,13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue fenugreek","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/blue_fenugreek/","[7,8,9,10,11,12,13,14]","Kr29","2.5 g",true,"2.20 g",,"[10,11,12,13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chervil Magnus","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/chervil_magnus/","[5,6,7,8,9,10,11,12]","Kr20","für ca. 100 Pflanzen",true,"2.50 g",,"[8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tetra dill","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/tetra_dill/","[5,6,7,8,9,10,11,12,13,14]","Kr18","1 g",true,"1.85 g",,"[10,11,12,13,14,15,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small burnet/ Pimpinelle","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/small_burnet_pimpinelle/","[6,7,8,9,10,11,12,13,14,15,16]","Kr27","2 g",true,"8.26 g",,"[10,11,12,13,14,15,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cultivated sorrel","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/cultivated_sorrel/","[5,6,7,8,9,10]","Kr49","0.3 g",true,"0.82 g",,"[8,9,10,11,12,13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Large-leaved Wormwood","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/large-leaved_wormwood/","[7,8,9,10,11,12]","Kr51","0.02 g",true,"0.07 g",,"[9,10,11,12,13,14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red-vined dock","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/red-vined_dock/","[5,6,7,8,9,10]","Kr52","0.06 g",true,"0.47 g",,"[8,9,10,11,12,13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosha","Lettuce","Romaine lettuce / Cos lettuce","https://www.reinsaat.at/shop/EN/lettuce/romaine_lettuce_cos_lettuce/rosha/","[5,6,7,8,9,10,11,12,13,14,15]","Sa58","0.7 g",true,"1.30 g",,"[10,11,12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red Salad Bowl","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/red_salad_bowl/","[6,7,8,9,10,11,12,13,14,15]","Sa37","0.6 g",true,"1.05 g",,"[10,11,12,13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salatrauke","Lettuce","Rocket","https://www.reinsaat.at/shop/EN/lettuce/rocket/salatrauke/","[7,8,9,10,11,12,13,14,15,16]","Sa54","für ca. 10-15m²",true,"1.55 g",,"[11,12,13,14,15,16,17,18,19,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cocarde","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/cocarde/","[5,6,7,8,9,10,11,12,13,14,15,16]","Sa98","0.8 g",false,"1.20 g",,"[9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lalita","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/lalita/","[7,8,9,10,11,12,13]","Sa101","0.6 g",false,"1.18 g",,"[11,12,13,14,15,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winter cress","Lettuce","Other salads","https://www.reinsaat.at/shop/EN/lettuce/other_salads/winter_cress/","[15,16,17]","Sa91","2 g",false,"1.06 g",,"[1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salatmischung Misticanza","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/salatmischung_misticanza/","[5,6,7,8,9,10,11,12,13,14,15,16]","Sa122","für ca. 4-5m²",false,"1.06 g",,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckshorn plantain (Herba Stella)","Lettuce","Other salads","https://www.reinsaat.at/shop/EN/lettuce/other_salads/buckshorn_plantain_herba_stella/","[7,8,9,10,11,12,13,14,15,16]","Sa123","0.3 g",false,"0.30 g",,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salatmischung Mesclun","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/salatmischung_mesclun/","[5,6,7,8,9,10,11,12,13,14,15,16]","Sa125","1 g",false,"1.01 g",,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollandse Middelvroeg","Lettuce","Chicory Witloof","https://www.reinsaat.at/shop/EN/lettuce/chicory_witloof/hollandse_middelvroeg/","[12,13]","Sa53",,false,"2.00 g",,"[1,2,3,4,23,24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Lakes 118","Lettuce","Iceberg lettuce","https://www.reinsaat.at/shop/EN/lettuce/iceberg_lettuce/great_lakes_118/","[6,7,8,9,10,11,12,13,14,15]","Sa22","für ca. 300 Pflanzen",true,"0.96 g",,"[10,11,12,13,14,15,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Romana larga verde","Lettuce","Romaine lettuce / Cos lettuce","https://www.reinsaat.at/shop/EN/lettuce/romaine_lettuce_cos_lettuce/romana_larga_verde/","[5,6,7,8,9,10,11,12,13,14,15,16]","Sa88","0.8 g",true,"1.15 g",,"[10,11,12,13,14,15,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catalogna","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/catalogna/","[6,7,8,9,10,11,12,13,14,15]","Sa33","für ca. 5m²",true,"1.08 g",,"[10,11,12,13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regina dei ghiacci","Lettuce","Iceberg lettuce","https://www.reinsaat.at/shop/EN/lettuce/iceberg_lettuce/regina_dei_ghiacci/","[6,7,8,9,10,11,12,13]","Sa26","0.6 g",true,"0.99 g",,"[10,11,12,13,14,15,16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forellenschluß","Lettuce","Romaine lettuce / Cos lettuce","https://www.reinsaat.at/shop/EN/lettuce/romaine_lettuce_cos_lettuce/forellenschluss/","[3,4,5,6,7,8,9]","Sa85","400 Pflanzen",true,"1.09 g",,"[7,8,9,10,11,12]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Till","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/till/","[6,7,8,9,10,11,14,15]","Sa28","für ca. 4-5m²",true,"2.76 g",,"[8,9,10,11,12,13,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarzan","Lettuce","Iceberg lettuce","https://www.reinsaat.at/shop/EN/lettuce/iceberg_lettuce/tarzan/","[7,8,9,10,11,12]","Sa76","0.4 g",true,"1.20 g",,"[12,13,14,15,16,17,18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilde Rauke","Lettuce","Rocket","https://www.reinsaat.at/shop/EN/lettuce/rocket/wilde_rauke/","[7,8,9,10,11,12,13,14,15,16]","Sa56","für ca. 4m²",true,"0.29 g",,"[11,12,13,14,15,16,17,18,19,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezianer","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/venezianer/","[5,6,7,8,14,15]","Sa35","0.6 g",true,"1.17 g",,"[7,8,9,10,11,12,16,17,18,19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piro","Lettuce","Loose leaf lettuce","https://www.reinsaat.at/shop/EN/lettuce/loose_leaf_lettuce/piro/","[6,7,8,9,10,11,12,13,14,15]","Sa68","0.4 g",true,"0.93 g",,"[10,11,12,13,14,15,16,17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
